Txt Path & File Name,String,Date
comScore Inc\NA\7251610\id_7251634.txt,No Match,No
comScore Inc\Service Agreement\12043475\ComScore_Services Agreement.txt,No Match,No
Concept Art House Inc f-k-a Concept Art House LLC\Nondisclosure-Confidentiality Agreement\35447486\MNDA_ZyngaSpellgun.txt.pdf,No Match,No
concept3D\Nondisclosure-Confidentiality Agreement\2400337\0023FD99.txt,No Match,No
core X games GmbH\Nondisclosure-Confidentiality Agreement\7256653\0002DD35.txt,No Match,No
core X games GmbH\Nondisclosure-Confidentiality Agreement\7256653\id_33706414.txt,No Match,No
core X games GmbH\Nondisclosure-Confidentiality Agreement\7256653\id_7256750.txt,No Match,No
Corporate Teams\NA\30210099\USDC20141024-181024_ID_4382_HXP30321_2CGL.txt.txt,No Match,No
crobo GmbH\Insertion Order\51474288\Crobo - Zynga NM IO - 2017-03-08 PE.txt,No Match,No
crobo GmbH\Insertion Order\51474288\CROBO GMBH_13459_FE_IO.txt,No Match,No
crobo GmbH\Insertion Order\51474288\id_52722686.txt,No Match,No
crobo GmbH\Insertion Order\51474288\id_52722701.txt,No Match,No
crobo GmbH\Insertion Order\51474288\id_53140399.txt,No Match,No
crobo GmbH\Insertion Order\51474288\id_53140417.txt,No Match,No
crobo GmbH\Insertion Order\51474288\id_53140432.txt,No Match,No
crobo GmbH\Insertion Order\51474288\id_53140433.txt,No Match,No
crobo GmbH\NA\22092085\id_22092468.txt,No Match,No
crobo GmbH\NA\22092085\id_22094075.txt,No Match,No
crobo GmbH\NA\22092085\id_22094076.txt,No Match,No
crobo GmbH\NA\22094148\Crobo GmbH NDA-signed FE.txt,No Match,No
crobo GmbH\NA\22094148\id_22094251.txt,No Match,No
crobo GmbH\NA\22094148\id_22094531.txt,No Match,No
crobo GmbH\NA\22094148\id_22274264.txt,No Match,No
crobo GmbH\NA\22687332\Crobo IO.txt,No Match,No
crobo GmbH\NA\22687332\CROBO_9426_FE_IO.txt,No Match,No
crobo GmbH\NA\26431727\CROBO_9883_FE_IO.txt,No Match,No
crobo GmbH\NA\26431727\id_26432225.txt,No Match,No
crobo GmbH\NA\26431727\id_28040906.txt,No Match,No
crobo GmbH\NA\26431727\id_28040921.txt,No Match,No
crobo GmbH\NA\28830704\CROBO_10122_FE_IO.txt,No Match,No
crobo GmbH\NA\28830704\id_28831202.txt,No Match,No
crobo GmbH\NA\28830704\id_30180486.txt,No Match,No
crobo GmbH\NA\28830704\id_30189501.txt,No Match,No
crobo GmbH\NA\31937790\CROBO_10495_FE_IO.txt,No Match,No
crobo GmbH\NA\31937790\id_31938288.txt,No Match,No
crobo GmbH\NA\35817369\CROBO_11010_FE_IO.txt,No Match,No
crobo GmbH\NA\35817369\id_35817867.txt,No Match,No
crobo GmbH\NA\35817369\id_36212120.txt,No Match,No
crobo GmbH\NA\35817369\id_36212135.txt,No Match,No
crobo GmbH\NA\37539146\Crobo - Zynga GLOBAL Outbound IO Template_signed crobo 25 AUG 2015.txt,No Match,No
crobo GmbH\NA\37539146\CROBO_11276_FE_IO.txt,No Match,No
crobo GmbH\NA\37539146\id_38053445.txt,No Match,No
crobo GmbH\NA\37539146\id_38053460.txt,No Match,No
crobo GmbH\NA\41005403\CROBO_11741_FE_IO.txt,No Match,No
crobo GmbH\NA\41005403\Crobo_Zynga GLOBAL Outbound IO Template 8 DEC 2015.txt,No Match,No
crobo GmbH\NA\41005403\id_41107417.txt,No Match,No
crobo GmbH\NA\41005403\id_41107432.txt,No Match,No
crobo GmbH\NA\41783763\CROBO_11923_FE_IO.txt,No Match,No
crobo GmbH\NA\41783763\id_41973608.txt,No Match,No
crobo GmbH\NA\41783763\id_41973623.txt,No Match,No
crobo GmbH\NA\41783763\Zynga_crobo_Signed_IO.txt,No Match,No
crobo GmbH\NA\45176653\Glispa_12560_FE_IO.txt,No Match,No
crobo GmbH\NA\45176653\id_45558211.txt,No Match,No
crobo GmbH\NA\45176653\id_45558226.txt,No Match,No
crobo GmbH\NA\45176653\Zynga GLOBAL Outbound IO Crobo.txt,No Match,No
crobo GmbH\NA\46280018\CROBO_12677_FE_IO.txt,No Match,No
crobo GmbH\NA\46280018\id_46280042.txt,No Match,No
crobo GmbH\NA\46280018\id_46280523.txt,No Match,No
crobo GmbH\NA\46280018\id_46488151.txt,No Match,No
crobo GmbH\NA\46280018\id_46488166.txt,No Match,No
crobo GmbH\NA\48890645\Crobo_13065_FE_IO.txt,No Match,No
crobo GmbH\NA\48890645\id_49632387.txt,No Match,No
crobo GmbH\NA\48890645\id_49632402.txt,No Match,No
crobo GmbH\NA\61970897\Crobo Termination Notice Letter 20180522.txt,No Match,No
crobo GmbH\NA\61970897\id_61971006.txt,No Match,No
crobo GmbH\NA\61970897\id_62177794.txt,No Match,No
Cromerzone Productions\NA\5224277\SOW CROMERZONE PRODUCTIONS 09.25.12 REV.1.0 2.txt1.txt,No Match,No
d3t Limited\NA\51650746\id_53168616.txt,No Match,No
d3t Limited\NA\51650746\id_53168631.txt,No Match,No
d3t Limited\NA\51650746\Service Provider Application - d3t .txt,No Match,No
d3t Limited\NA\51650746\UK302_D3T LTD_30200583_FE_Contractor Agreement.txt,No Match,No
d3t Limited\NA\51650746\Website Terms and Conditions - d3t.txt,either party may terminate the Contract without liability to the other if : ( a ) the,Yes
DANIEL HUNTER\NA\27862293\NDA.txt,Either Party may terminate this Agreement on thirty ( 30 ) days ' written notice . Ex,Yes
Databricks\NA\49329007\DATABRICKS_FE_Subscription Services Agreement Order Form_POC.txt.txt,No Match,No
Delta Mobility Inc\NA\67642144\DELTA_MOBILITY_DPA_2019-01-29.txt.pdf,No Match,No
dev Round and Round SL\Nondisclosure-Confidentiality Agreement\7292332\0002DD7B.txt,No Match,No
dev Round and Round SL\Nondisclosure-Confidentiality Agreement\7292332\id_33731398.txt,No Match,No
dev Round and Round SL\Nondisclosure-Confidentiality Agreement\7292332\id_7292429.txt,No Match,No
DICO CO LTD\NA\66528922\NDA.txt,Either Party may terminate this Agreement on thirty ( 30 ) days ' written notice . Ex,Yes
DigiCert Inc\NA\48390132\Digicert_Invoice _ Receipt for 313369.txt.txt,No Match,No
Digital Guardian\NA\61686825\Digital Guardian Evaluation Agreement FE.txt.pdf,No Match,No
digital-telepathy\Nondisclosure-Confidentiality Agreement\17851140\Digital Telepathy - NDA 2011-07-01 FE.txt,No Match,No
digital-telepathy\Nondisclosure-Confidentiality Agreement\17851140\id_17851243.txt,No Match,No
digital-telepathy\Nondisclosure-Confidentiality Agreement\17851140\id_33976749.txt,No Match,No
digital-telepathy\Nondisclosure-Confidentiality Agreement\2683829\0023BC54.txt,No Match,No
diwip ltd\Nondisclosure-Confidentiality Agreement\7305007\0002DDC4.txt,No Match,No
diwip ltd\Nondisclosure-Confidentiality Agreement\7305007\id_33731412.txt,No Match,No
diwip ltd\Nondisclosure-Confidentiality Agreement\7305007\id_7305104.txt,No Match,No
doc2e-file Inc\Change Order\7305358\0002DDC5.txt,No Match,No
doc2e-file Inc\Master Services Agreement\7305928\id_7305952.txt,Either party may terminate this Agreement ( including the Statement of Work ) if the ,Yes
doc2e-file Inc\NA\4918635\id_4919223.txt,Either party may terminate this Agreement ( including the Statement of Work ) if the ,Yes
doc2e-file Inc\Nondisclosure-Confidentiality Agreement\2687903\0023BC61.txt,No Match,No
doc2e-file Inc\Statement of Work-Work Order\7305643\0002DDC8.txt,No Match,No
dotSyntax LLC\Nondisclosure-Confidentiality Agreement\2689451\0023BC66.txt,No Match,No
dSonic Inc\Service Agreement\1582121\0020C394.txt,Either party may terminate this Agreement ( including the Statement of Work ) if the ,Yes
dSonic Inc\Service Agreement\1582691\0020C3BB.txt,Either party may terminate this Agreement ( including the Statement of Work ) if the ,Yes
dSonic Inc\Statement of Work-Work Order\1582447\0020C3EA.txt,No Match,No
dSonic Inc\Statement of Work-Work Order\1582935\0020C3C4.txt,No Match,No
dSonic Inc\Statement of Work-Work Order\1583179\0020C3CC.txt,No Match,No
dSonic Inc\Statement of Work-Work Order\1583423\0020C3D1.txt,No Match,No
e-Content Development\Nondisclosure-Confidentiality Agreement\18794810\e-Content Development NDA 2013-10-14.txt,No Match,No
e-Content Development\Nondisclosure-Confidentiality Agreement\18794810\id_18794913.txt,No Match,No
e-Content Development\Nondisclosure-Confidentiality Agreement\18794810\id_24163361.txt,No Match,No
e-Rewards Inc\Nondisclosure-Confidentiality Agreement\2708597\0023BCA4.txt,No Match,No
e4e Business Solutions India Pvt Ltd\Addendum\12693301\e4eDOC070613-07062013031522.txt,No Match,No
e4e Business Solutions India Pvt Ltd\Change Order\12904751\IN_e4e Tech Support_51000189_FE Change Order.txt,No Match,No
e4e Business Solutions India Pvt Ltd\Change Order\7335226\id_7335250.txt,No Match,No
e4e Business Solutions India Pvt Ltd\NA\10738946\e4e support - galina email.txt,No Match,No
e4e Business Solutions India Pvt Ltd\NA\10738946\e4e support.txt,No Match,No
e4e Business Solutions India Pvt Ltd\Nondisclosure-Confidentiality Agreement\7332748\0002DDF6.txt,No Match,No
e4e Business Solutions India Pvt Ltd\Nondisclosure-Confidentiality Agreement\7332748\id_33731426.txt,No Match,No
e4e Business Solutions India Pvt Ltd\Nondisclosure-Confidentiality Agreement\7332748\id_7332845.txt,No Match,No
e4e Business Solutions India Pvt Ltd\Personnel Requisition form\12906704\IN_e4e Tech Support_51000189_FE PRF_Dipti A Devanga.txt,No Match,No
e4e Business Solutions India Pvt Ltd\Personnel Requisition form\12908757\IN_e4e Tech Support_51000189_FE PRF.txt,No Match,No
e4e Business Solutions India Pvt Ltd\Staffing Agreement\12910710\IN_e4e Tech Support_51000189_Staffing Agreement.txt,Either Party may terminate this Agreement ( including the Personnel Requisition Form ,Yes
e4e Business Solutions India Pvt Ltd\Statement of Work-Work Order\7334020\0002DDF9.txt,No Match,No
e4e Business Solutions LLC\Addendum\7334305\0002DDFB.txt,No Match,No
e4e Business Solutions LLC\Addendum\7334656\id_7334680.txt,No Match,No
e4e Business Solutions LLC\Amendment\12228661\e4e Business Solutions Inc -  MSA Rider 3 FE copy.txt,No Match,No
e4e Business Solutions LLC\Amendment\12236473\E4E.5469.FE.Rider1.Bangalore India1.10.2012.txt,No Match,No
e4e Business Solutions LLC\Amendment\1597431\0022C60A.txt,No Match,No
e4e Business Solutions LLC\Corporate Domestic\1596779\0022C5F5.txt,No Match,No
e4e Business Solutions LLC\Corporate Domestic\1597105\0022C600.txt,No Match,No
e4e Business Solutions LLC\NA\10740843\e4e support - galina email.txt,No Match,No
e4e Business Solutions LLC\NA\10740843\e4e support.txt,No Match,No
e4e Business Solutions LLC\Notices\11596839\Assignment Letter FE 2013-05-03.txt,No Match,No
e4e Business Solutions LLC\Personnel Requisition form\12230614\e4e Personal Requisition Form-27122012113116.txt,No Match,No
e4e Business Solutions LLC\Service Agreement\1597675\0022C611.txt,No Match,No
e4e Business Solutions LLC\Staffing Agreement\12232567\e4e Staffing Agreement-27122012113320.txt,Either Party may terminate this Agreement ( including the Personnel Requisition Form ,Yes
e4e Business Solutions LLC\Staffing Agreement\12234520\e4e Tech Support India Private Limited - Staffing Agreement 2013-01-01 UE.txt,Either party may terminate this Agreement ( including the Personnel Requisition Form ,Yes
e4e Business Solutions USA LLC f-k-a e4e Business Solutions\Addendum\7334941\id_7334965.txt,No Match,No
e4e Business Solutions USA LLC f-k-a e4e Business Solutions\Amendment\7332397\id_7332421.txt,No Match,No
e4e Business Solutions USA LLC f-k-a e4e Business Solutions\Amendment\7333099\0002DDF7.txt,No Match,No
e4e Business Solutions USA LLC f-k-a e4e Business Solutions\Amendment\7335511\id_7335535.txt,No Match,No
e4e Incorporated\Nondisclosure-Confidentiality Agreement\7333669\0002DDF8.txt,No Match,No
e4e Incorporated\Nondisclosure-Confidentiality Agreement\7333669\id_33731427.txt,No Match,No
e4e Incorporated\Nondisclosure-Confidentiality Agreement\7333669\id_7333766.txt,No Match,No
eBay\NA\40036827\eBay_Triad MNDA Zynga FINAL 2015-11-12.txt,No Match,No
eBay\NA\40036827\id_40164401.txt,No Match,No
eBay\NA\40036827\id_40164416.txt,No Match,No
eBay Inc\Nondisclosure-Confidentiality Agreement\2696701\0023BC7E.txt,No Match,No
eBuddy Holding BV\Nondisclosure-Confidentiality Agreement\15856553\eBuddy BV-2013-07-23-NDA.txt,No Match,No
eBuddy Holding BV\Nondisclosure-Confidentiality Agreement\15856553\id_15856656.txt,No Match,No
eBuddy Holding BV\Nondisclosure-Confidentiality Agreement\15856553\id_33915166.txt,No Match,No
eBuddy Holding BV\Nondisclosure-Confidentiality Agreement\7336783\0002DE08.txt,No Match,No
eBuddy Holding BV\Nondisclosure-Confidentiality Agreement\7336783\id_33731428.txt,No Match,No
eBuddy Holding BV\Nondisclosure-Confidentiality Agreement\7336783\id_7336880.txt,No Match,No
eChannel Networks Inc\License - Software\1597919\0022C5ED.txt,No Match,No
eChannel Networks Inc\License - Software\1598245\0022C601.txt,No Match,No
eChannel Networks Inc\License - Software\1598571\0022C60B.txt,No Match,No
eclipse-io Inc\Nondisclosure-Confidentiality Agreement\17949108\eclipse-io Inc. - NDA 2012-12-11 FE.txt,No Match,No
eclipse-io Inc\Nondisclosure-Confidentiality Agreement\17949108\id_17949211.txt,No Match,No
eclipse-io Inc\Nondisclosure-Confidentiality Agreement\17949108\id_33976762.txt,No Match,No
eGain\Nondisclosure-Confidentiality Agreement\17003716\egain_-_NDA.txt,No Match,No
eGain\Nondisclosure-Confidentiality Agreement\17003716\id_17003819.txt,No Match,No
eGain\Nondisclosure-Confidentiality Agreement\17003716\id_17004117.txt,No Match,No
eGain\Nondisclosure-Confidentiality Agreement\17003716\id_33915198.txt,No Match,No
eircom Limited\Corporate Domestic\1607685\0022C56D.txt,No Match,No
ELITE CABLE SYSTEMS INC\Nondisclosure-Confidentiality Agreement\25525954\Executed NDA.txt.pdf,No Match,No
eMarketer\License - Software\1611595\0022C57E.txt,No Match,No
emTRAIN\Proposal-RFP\1613061\0022C583.txt,No Match,No
endemol shine au\NA\42669041\Endemol Shine Australia Agreement 2016-03-01 FE.txt,No Match,No
endemol shine au\NA\42669041\id_42669409.txt,No Match,No
endemol shine au\NA\42669041\id_42671178.txt,No Match,No
endemol shine au\NA\42669041\id_42671179.txt,No Match,No
endemol shine au\NA\42669041\id_42908236.txt,No Match,No
endemol shine au\NA\42669041\id_42908251.txt,No Match,No
endemol shine au\NA\42669041\id_42908255.txt,No Match,No
endemol shine au\NA\42669041\id_42908270.txt,No Match,No
ePartners Inc\Nondisclosure-Confidentiality Agreement\17914770\E Partners NDA 2009-04-01.txt,No Match,No
ePlus Technology inc\Nondisclosure-Confidentiality Agreement\7316017\0002DE05.txt,No Match,No
ePlus Technology inc\Nondisclosure-Confidentiality Agreement\7316017\id_33731444.txt,No Match,No
ePlus Technology inc\Nondisclosure-Confidentiality Agreement\7316017\id_7316114.txt,No Match,No
ePrize LLC\NA\7318144\0002DE17.txt,No Match,No
eQube Technology and Software Inc\Nondisclosure-Confidentiality Agreement\18922842\eQube Technology and Software Inc NDA 2013-10-21.txt,No Match,No
eQube Technology and Software Inc\Nondisclosure-Confidentiality Agreement\18922842\id_18922945.txt,No Match,No
eQube Technology and Software Inc\Nondisclosure-Confidentiality Agreement\18922842\id_24163365.txt,No Match,No
eRepublik Labs\Nondisclosure-Confidentiality Agreement\34341808\eRepublik Labs -NDA- 2015-04-22.txt,No Match,No
eRepublik Labs\Nondisclosure-Confidentiality Agreement\34341808\id_34344211.txt,No Match,No
eRepublik Labs\Nondisclosure-Confidentiality Agreement\34341808\id_34346309.txt,No Match,No
eTouch Systems\Nondisclosure-Confidentiality Agreement\7323319\0002DE4D.txt,No Match,No
eTouch Systems\Nondisclosure-Confidentiality Agreement\7323319\id_33731451.txt,No Match,No
eTouch Systems\Nondisclosure-Confidentiality Agreement\7323319\id_7323416.txt,No Match,No
F@n\NA\63245926\FAN COMMUNICATIONS_-_GRAM_GAMES_DPA_072318.txt.pdf,No Match,No
falconio\NA\67948844\Falcon.io Order Form.txt,No Match,No
falconio\NA\67948844\id_67949880.txt,No Match,No
falconio\NA\67948844\Privacy Notice.txt,No Match,No
FCBarcelona\Nondisclosure-Confidentiality Agreement\29223144\FCB_ZYNGA_NDA.txt.pdf,No Match,No
foursquare labs inc\Master Services Agreement\45300101\Foursquare Labs Inc. Measurement Services Agreement 2016-06-22 FE.txt,No Match,No
foursquare labs inc\Nondisclosure-Confidentiality Agreement\2736209\0023BD01.txt,No Match,No
froglogic GmbH\Nondisclosure-Confidentiality Agreement\7381519\0002DF86.txt,No Match,No
froglogic GmbH\Nondisclosure-Confidentiality Agreement\7381519\id_33742890.txt,No Match,No
froglogic GmbH\Nondisclosure-Confidentiality Agreement\7381519\id_7381616.txt,No Match,No
g-NET Media Inc\NA\31220739\Empire__Allies_2Statement_of_Work_121614.txt,No Match,No
g-NET Media Inc\NA\31220739\G-NET MEDIA_FE_SOW.txt,No Match,No
g-NET Media Inc\NA\31220739\id_31221330.txt,No Match,No
g-NET Media Inc\NA\31220739\id_31222874.txt,No Match,No
g-NET Media Inc\NA\31220739\id_31222875.txt,No Match,No
g-NET Media Inc\NA\31220739\id_31311804.txt,No Match,No
g-NET Media Inc\NA\31220739\id_31311819.txt,No Match,No
g-NET Media Inc\NA\31220739\id_31501780.txt,No Match,No
g-NET Media Inc\NA\31220739\id_31501795.txt,No Match,No
g-NET Media Inc\NA\33643033\EA_OVG_ESTIMATE_24MAR15.txt,No Match,No
g-NET Media Inc\NA\33643033\G-NET MEDIA_FE_CO_10286.txt,No Match,No
g-NET Media Inc\NA\33643033\gNETChange_Order_CMS33643033.txt,No Match,No
g-NET Media Inc\NA\33643033\id_33695157.txt,No Match,No
g-NET Media Inc\NA\33643033\id_33695172.txt,No Match,No
